2022-12-10 18:31:33,558 INFO    MainThread:155967 [wandb_run.py:_footer_sync_info():3364] logging synced files
2022-12-10 18:31:33,559 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: shutdown
2022-12-10 18:31:33,559 INFO    HandlerThread:155967 [handler.py:finish():814] shutting down handler
2022-12-10 18:31:34,407 INFO    WriterThread:155967 [datastore.py:close():279] close: /home/wenxuan/Stable-diffusion-for-book-cover-generation/Output_images/v12 inference/wandb/run-20221210_182850-zw0344ea/run-zw0344ea.wandb
2022-12-10 18:31:34,557 INFO    SenderThread:155967 [sender.py:finish():1331] shutting down sender
2022-12-10 18:31:34,562 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: poll_exit
2022-12-10 18:31:34,563 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: poll_exit
2022-12-10 18:31:34,563 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: server_info
2022-12-10 18:31:34,565 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: server_info
2022-12-10 18:31:34,565 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: get_summary
2022-12-10 18:31:34,569 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: sampled_history
2022-12-10 18:31:34,720 INFO    MainThread:155967 [wandb_run.py:_footer_history_summary_info():3408] rendering history
2022-12-10 18:31:34,720 INFO    MainThread:155967 [wandb_run.py:_footer_history_summary_info():3440] rendering summary
2022-12-10 18:31:34,721 INFO    MainThread:155967 [wandb_run.py:_footer_sync_info():3364] logging synced files
2022-12-10 18:31:34,721 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: shutdown
2022-12-10 18:31:34,722 INFO    HandlerThread:155967 [handler.py:finish():814] shutting down handler
2022-12-10 18:31:35,410 INFO    WriterThread:155967 [datastore.py:close():279] close: /home/wenxuan/Stable-diffusion-for-book-cover-generation/Output_images/v12 inference/wandb/run-20221210_183120-fbdkp0mg/run-fbdkp0mg.wandb
2022-12-10 18:31:35,720 INFO    SenderThread:155967 [sender.py:finish():1331] shutting down sender
2022-12-10 18:31:36,658 INFO    MainThread:155967 [internal.py:handle_exit():77] Internal process exited
2022-12-10 18:31:36,659 INFO    MainThread:155967 [internal.py:handle_exit():77] Internal process exited
2022-12-10 18:31:36,659 INFO    MainThread:155967 [internal.py:handle_exit():77] Internal process exited
2022-12-10 18:31:36,659 INFO    MainThread:155967 [internal.py:handle_exit():77] Internal process exited
2022-12-10 18:31:36,660 WARNING MsgRouterThr:155967 [router.py:message_loop():74] EOFError seen in message_loop
2022-12-10 18:31:36,660 WARNING MsgRouterThr:155967 [router.py:message_loop():74] EOFError seen in message_loop
